                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99188,                 3.6469,                 1.4369,                0.00232,                0.55208,                 0.0367,                0.00998,                 2.2268,                 3.9957,                 2.0545,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.1153,                 3.7935,                 1.5785,                0.00436,                0.72917,                0.06812,                0.01859,                 1.7372,                 3.8642,                  1.741,               0.093693,             0.00069307,             0.00069307
                      2,                0.92942,                 3.6212,                 1.4679,                0.00634,                0.90625,                0.04485,                0.02803,                0.89482,                 3.6817,                 1.2474,               0.090078,              0.0010782,              0.0010782
                      3,                0.74322,                 3.5024,                 1.3413,                 0.0024,                 0.8125,                0.10104,                0.07908,                0.40693,                 3.5955,                0.75658,               0.086455,              0.0014555,              0.0014555
                      4,                0.54176,                 3.4378,                 1.2236,                0.03382,                0.96875,                0.29771,                0.26934,                0.30018,                 3.5602,                0.59095,               0.082825,              0.0018248,              0.0018248
                      5,                0.43676,                 3.3216,                 1.1867,                0.03992,                0.96875,                0.23736,                0.19682,                0.41647,                 3.5336,                0.75091,               0.079186,              0.0021861,              0.0021861
                      6,                0.29822,                 3.2112,                 1.1128,                0.01414,                 0.9375,                 0.1688,                0.12471,                0.43182,                 3.5166,                0.75314,                0.07554,              0.0025396,              0.0025396
                      7,                0.41885,                 3.1598,                 1.2057,                 0.0155,                      1,                0.13656,                0.11699,                0.36202,                 3.4653,                0.68076,               0.071885,              0.0028852,              0.0028852
                      8,                0.31215,                 2.9898,                 1.0903,                0.01807,                      1,                0.25311,                0.20524,                0.36532,                 3.4401,                0.62351,               0.068223,              0.0032228,              0.0032228
                      9,                0.25042,                 2.7568,                0.99565,                0.01953,                      1,                 0.3445,                0.31696,                0.29554,                 3.4125,                0.58129,               0.064553,              0.0035525,              0.0035525
                     10,                0.22124,                 2.5907,                0.97867,                0.01916,                      1,                0.32221,                0.29204,                0.41626,                 3.3965,                0.68645,               0.060874,              0.0038743,              0.0038743
                     11,                0.40789,                 2.6041,                 1.1503,                 0.0129,                      1,                0.35285,                0.32704,                0.55619,                 3.3009,                 0.8242,               0.057188,              0.0041882,              0.0041882
                     12,                0.34308,                 2.2858,                 1.0949,                0.00932,                      1,                0.40177,                0.34958,                0.52848,                 3.0999,                0.89061,               0.053494,              0.0044941,              0.0044941
                     13,                0.23863,                 2.0593,                0.96217,                0.01045,                      1,                0.48507,                0.45815,                0.44281,                 2.9448,                0.73548,               0.049792,              0.0047922,              0.0047922
                     14,                0.31152,                 2.1522,                 1.0336,                0.43916,                 0.5625,                0.49907,                0.44588,                0.47099,                 2.3069,                 0.7309,               0.046082,              0.0050823,              0.0050823
                     15,                0.26709,                 1.8575,                 1.0167,                0.90936,                  0.125,                0.57888,                0.50858,                0.55977,                  2.545,                0.91304,               0.042364,              0.0053644,              0.0053644
                     16,                0.33102,                 1.9337,                 1.0463,                0.70209,                0.35903,                0.50816,                0.25716,                 1.0798,                 2.5756,                 1.3007,               0.038639,              0.0056387,              0.0056387
                     17,                0.38249,                 2.1318,                 1.1376,                0.83208,                0.43488,                0.65735,                0.52452,                0.61256,                 2.3569,                0.92693,               0.034905,              0.0059051,              0.0059051
                     18,                0.33929,                 1.9258,                 1.0745,                0.84241,                 0.4375,                0.67423,                0.47384,                0.79324,                  2.234,                 1.1877,               0.031163,              0.0061635,              0.0061635
                     19,                0.28296,                 1.9646,                 1.0654,                0.73658,                    0.5,                0.59314,                0.44942,                0.85002,                 2.2795,                 1.3711,               0.027414,               0.006414,               0.006414
                     20,                0.27738,                 1.8669,                 1.0286,                0.59464,                  0.375,                 0.5772,                0.40924,                  1.025,                 2.3664,                 1.6895,               0.023657,              0.0066566,              0.0066566
                     21,                0.31291,                 1.6742,                 1.0538,                0.87479,                   0.25,                0.34407,                0.22238,                  1.384,                 2.9182,                 1.8194,               0.019891,              0.0068913,              0.0068913
                     22,                0.36362,                 1.6872,                 1.0781,                 0.8765,                   0.25,                0.46547,                0.30688,                 1.1808,                 2.7239,                 1.5557,               0.016118,               0.007118,               0.007118
                     23,                 0.3159,                 1.7753,                 1.0279,                0.74314,                  0.375,                 0.5428,                0.39025,                 1.0851,                 2.6858,                 1.4439,               0.012337,              0.0073369,              0.0073369
                     24,                0.29914,                 1.6564,                 1.0333,                0.60454,                  0.375,                0.57342,                0.44679,                0.62787,                 2.6532,                0.99495,              0.0085478,              0.0075478,              0.0075478
                     25,                0.33889,                 1.7525,                 1.0357,                0.39254,                  0.625,                0.64051,                0.35691,                0.77472,                 2.6029,                 1.0828,               0.007525,               0.007525,               0.007525
                     26,                0.29083,                 1.5587,                0.97277,                0.35279,                0.78919,                0.61651,                0.50219,                0.65458,                 2.2864,                0.98719,               0.007525,               0.007525,               0.007525
                     27,                0.32853,                 1.5761,                 1.0386,                0.47101,                0.45961,                0.48523,                0.28524,                 1.2985,                 2.3005,                 1.8692,               0.007426,               0.007426,               0.007426
                     28,                 0.2579,                 1.7611,                 1.0095,                0.64281,                0.53156,                0.70328,                0.57538,                0.69551,                 1.9777,                 1.1031,               0.007327,               0.007327,               0.007327
                     29,                0.34305,                 1.6026,                 1.1054,                0.45198,                0.52063,                0.53402,                0.32268,                 1.6926,                 2.3927,                 2.0519,               0.007228,               0.007228,               0.007228
                     30,                 0.2957,                 1.4296,                 1.0455,                0.26616,                0.34788,                0.37711,                0.21261,                 1.9072,                 3.1821,                 1.8632,               0.007129,               0.007129,               0.007129
                     31,                0.33536,                 1.5342,                 1.0581,                0.91115,                   0.25,                0.43683,                0.24486,                 1.6822,                 2.8152,                 1.8737,                0.00703,                0.00703,                0.00703
                     32,                0.27458,                 1.4145,                0.96819,                0.74727,                 0.1875,                0.36341,                0.21376,                  1.664,                 2.9806,                 1.8477,               0.006931,               0.006931,               0.006931
                     33,                0.26237,                 1.4262,                0.99486,                0.43329,                 0.5625,                0.51172,                0.39403,                 1.1717,                 3.0462,                 1.3672,               0.006832,               0.006832,               0.006832
                     34,                0.30366,                 1.4286,                 1.0378,                0.38618,                 0.5625,                0.48555,                0.34994,                0.97936,                 2.5094,                 1.0959,               0.006733,               0.006733,               0.006733
                     35,                0.34137,                 1.5069,                 1.0444,                0.76575,                0.47676,                0.51789,                0.30203,                 1.0835,                 2.7362,                 1.0696,               0.006634,               0.006634,               0.006634
                     36,                0.31898,                 1.4414,                 1.0357,                0.55738,                 0.4331,                 0.3055,                 0.1343,                 2.0326,                 3.7734,                 2.1928,               0.006535,               0.006535,               0.006535
                     37,                0.28344,                 1.4228,                 1.0208,                0.51805,                0.47917,                0.34953,                0.23263,                 1.4833,                  3.212,                 1.9625,               0.006436,               0.006436,               0.006436
                     38,                0.29324,                 1.2709,                0.99429,                0.52218,                0.60111,                0.47964,                0.34916,                  1.363,                 2.9201,                 1.9699,               0.006337,               0.006337,               0.006337
                     39,                 0.2539,                 1.2881,                0.99247,                0.53291,                0.74208,                0.72641,                0.54747,                0.93334,                 2.3365,                 1.4554,               0.006238,               0.006238,               0.006238
                     40,                0.32257,                  1.308,                 1.0525,                0.56036,                0.79837,                0.82292,                0.68332,                0.78729,                 1.9657,                 1.1832,               0.006139,               0.006139,               0.006139
                     41,                0.26751,                 1.2318,                 1.0052,                0.81596,                  0.625,                0.87062,                0.74207,                0.57318,                 2.2614,                0.85185,                0.00604,                0.00604,                0.00604
                     42,                0.26538,                 1.2915,                0.96882,                0.33783,                0.92001,                0.69172,                0.54679,                0.59397,                 1.9882,                0.83475,               0.005941,               0.005941,               0.005941
                     43,                0.32456,                 1.2511,                0.98977,                0.36072,                0.92214,                0.70653,                 0.5621,                0.62686,                 1.8602,                0.89633,               0.005842,               0.005842,               0.005842
